CASP3	DCC	activation
PTK2	PIK3CD	activation
PTK2	PIK3R1	activation
PTK2	PIK3R2	activation
PTK2	PIK3R3	activation
FZD10	DVL1	activation
FZD10	DVL2	activation
FZD10	DVL3	activation
FZD2	DVL1	activation
FZD2	DVL2	activation
FZD2	DVL3	activation
FZD5	DVL1	activation
FZD5	DVL2	activation
FZD5	DVL3	activation
FZD3	DVL1	activation
FZD3	DVL2	activation
FZD3	DVL3	activation
FZD1	DVL1	activation
FZD1	DVL2	activation
FZD1	DVL3	activation
FZD4	DVL1	activation
FZD4	DVL2	activation
FZD4	DVL3	activation
FZD6	DVL1	activation
FZD6	DVL2	activation
FZD6	DVL3	activation
FZD7	DVL1	activation
FZD7	DVL2	activation
FZD7	DVL3	activation
FZD8	DVL1	activation
FZD8	DVL2	activation
FZD8	DVL3	activation
FZD9	DVL1	activation
FZD9	DVL2	activation
FZD9	DVL3	activation
ABL1	STAT5A	activation
ABL1	STAT5B	activation
ABL1	GRB2	activation
ABL1	CRK	activation
ABL1	CRKL	activation
ABL1	CBL	activation
BCR	STAT5A	activation
BCR	STAT5B	activation
BCR	GRB2	activation
BCR	CRK	activation
BCR	CRKL	activation
BCR	CBL	activation
CRK	PIK3CA	activation
CRK	PIK3CB	activation
CRK	PIK3CD	activation
CRK	PIK3R1	activation
CRK	PIK3R2	activation
CRK	PIK3R3	activation
CRKL	PIK3CA	activation
CRKL	PIK3CB	activation
CRKL	PIK3CD	activation
CRKL	PIK3R1	activation
CRKL	PIK3R2	activation
CRKL	PIK3R3	activation
CBL	PIK3CA	activation
CBL	PIK3CB	activation
CBL	PIK3CD	activation
CBL	PIK3R1	activation
CBL	PIK3R2	activation
CBL	PIK3R3	activation
JAK1	STAT3	activation
JAK1	STAT1	activation
JAK1	STAT5A	activation
JAK1	STAT5B	activation
JAK1	STAT2	activation
JAK1	STAT4	activation
JAK1	STAT6	activation
JAK2	STAT3	activation
JAK2	STAT1	activation
JAK2	STAT5A	activation
JAK2	STAT5B	activation
JAK2	STAT2	activation
JAK2	STAT4	activation
JAK2	STAT6	activation
JAK3	STAT3	activation
JAK3	STAT1	activation
JAK3	STAT5A	activation
JAK3	STAT5B	activation
JAK3	STAT2	activation
JAK3	STAT4	activation
JAK3	STAT6	activation
EGFR	PIK3CA	activation
EGFR	PIK3CB	activation
EGFR	PIK3CD	activation
EGFR	PIK3R1	activation
EGFR	PIK3R2	activation
EGFR	PIK3R3	activation
EGFR	JAK1	activation
EGFR	JAK2	activation
EGFR	JAK3	activation
EGFR	PLCG1	activation
EGFR	PLCG2	activation
ERBB2	PIK3CA	activation
ERBB2	PIK3CB	activation
ERBB2	PIK3CD	activation
ERBB2	PIK3R1	activation
ERBB2	PIK3R2	activation
ERBB2	PIK3R3	activation
ERBB2	JAK1	activation
ERBB2	JAK2	activation
ERBB2	JAK3	activation
PDGFRA	PLCG1	activation
PDGFRA	PLCG2	activation
PDGFRA	GRB2	activation
PDGFRA	PIK3CA	activation
PDGFRA	PIK3CB	activation
PDGFRA	PIK3CD	activation
PDGFRA	PIK3R1	activation
PDGFRA	PIK3R2	activation
PDGFRA	PIK3R3	activation
PDGFRB	PLCG1	activation
PDGFRB	PLCG2	activation
PDGFRB	GRB2	activation
PDGFRB	PIK3CA	activation
PDGFRB	PIK3CB	activation
PDGFRB	PIK3CD	activation
PDGFRB	PIK3R1	activation
PDGFRB	PIK3R2	activation
PDGFRB	PIK3R3	activation
IGF1R	PLCG1	activation
IGF1R	PLCG2	activation
IGF1R	GRB2	activation
IGF1R	PIK3CA	activation
IGF1R	PIK3CB	activation
IGF1R	PIK3CD	activation
IGF1R	PIK3R1	activation
IGF1R	PIK3R2	activation
IGF1R	PIK3R3	activation
KIT	PIK3CA	activation
KIT	PIK3CB	activation
KIT	PIK3CD	activation
KIT	PIK3R1	activation
KIT	PIK3R2	activation
KIT	PIK3R3	activation
KIT	GRB2	activation
FLT3	PIK3CA	activation
FLT3	PIK3CB	activation
FLT3	PIK3CD	activation
FLT3	PIK3R1	activation
FLT3	PIK3R2	activation
FLT3	PIK3R3	activation
FLT3	GRB2	activation
MET	GRB2	activation
FGFR1	GRB2	activation
FGFR3	GRB2	activation
FGFR2	GRB2	activation
FGFR4	GRB2	activation
TGFA	EGFR	activation
EGF	EGFR	activation
HGF	MET	activation
PDGFA	PDGFRA	activation
PDGFA	PDGFRB	activation
PDGFB	PDGFRA	activation
PDGFB	PDGFRB	activation
IGF1	IGF1R	activation
IGF2	IGF1R	activation
AR	AR	activation
HSP90AA1	AR	activation
HSP90AB1	AR	activation
HSP90B1	AR	activation
CHUK	NFKBIA	activation
IKBKB	NFKBIA	activation
IKBKG	NFKBIA	activation
MTOR	RPS6KB1	activation
MTOR	RPS6KB2	activation
BAD	BCL2L1	inhibition
BAD	BCL2	inhibition
MDM2	TP53	inhibition
CDKN1B	CDK2	inhibition
CDKN1B	CCNE1	inhibition
CDKN1B	CCNE2	inhibition
BCL2L1	BAX	inhibition
BCL2L1	BAK1	inhibition
GRB2	SOS1	activation
GRB2	SOS2	activation
SOS1	HRAS	activation
SOS1	KRAS	activation
SOS1	NRAS	activation
SOS2	HRAS	activation
SOS2	KRAS	activation
SOS2	NRAS	activation
HRAS	ARAF	activation
HRAS	RAF1	activation
HRAS	BRAF	activation
HRAS	PIK3CA	activation
HRAS	PIK3CB	activation
HRAS	PIK3CD	activation
HRAS	PIK3R1	activation
HRAS	PIK3R2	activation
HRAS	PIK3R3	activation
HRAS	RASSF1	activation
HRAS	RALGDS	activation
KRAS	ARAF	activation
KRAS	RAF1	activation
KRAS	BRAF	activation
KRAS	PIK3CA	activation
KRAS	PIK3CB	activation
KRAS	PIK3CD	activation
KRAS	PIK3R1	activation
KRAS	PIK3R2	activation
KRAS	PIK3R3	activation
KRAS	RASSF1	activation
KRAS	RALGDS	activation
NRAS	ARAF	activation
NRAS	RAF1	activation
NRAS	BRAF	activation
NRAS	PIK3CA	activation
NRAS	PIK3CB	activation
NRAS	PIK3CD	activation
NRAS	PIK3R1	activation
NRAS	PIK3R2	activation
NRAS	PIK3R3	activation
NRAS	RASSF1	activation
NRAS	RALGDS	activation
ARAF	MAP2K1	activation
ARAF	MAP2K2	activation
RAF1	MAP2K1	activation
RAF1	MAP2K2	activation
BRAF	MAP2K1	activation
BRAF	MAP2K2	activation
MAP2K1	MAPK1	activation
MAP2K1	MAPK3	activation
MAP2K2	MAPK1	activation
MAP2K2	MAPK3	activation
CCND1	RB1	activation
RALGDS	RALA	activation
RALGDS	RALB	activation
RALGDS	RHOA	activation
RALGDS	RAC1	activation
RALGDS	RAC2	activation
RALGDS	RAC3	activation
RALA	RALBP1	activation
RALA	PLD1	activation
RALA	PLD2	activation
RALB	RALBP1	activation
RALB	PLD1	activation
RALB	PLD2	activation
RALBP1	RAC1	inhibition
RALBP1	RAC2	inhibition
RALBP1	RAC3	inhibition
RALBP1	CDC42	inhibition
MYC	ZBTB17	inhibition
PRKCA	ARAF	activation
PRKCA	RAF1	activation
PRKCA	BRAF	activation
PRKCA	ELK1	activation
PRKCB	ARAF	activation
PRKCB	RAF1	activation
PRKCB	BRAF	activation
PRKCB	ELK1	activation
PRKCG	ARAF	activation
PRKCG	RAF1	activation
PRKCG	BRAF	activation
PRKCG	ELK1	activation
SHH	PTCH1	inhibition
PTCH1	SMO	inhibition
SMO	SUFU	activation
RBX1	CDKN1B	inhibition
CYCS	CASP9	activation
TGFB1	TGFBR1	activation
TGFB1	TGFBR2	activation
TGFB2	TGFBR1	activation
TGFB2	TGFBR2	activation
TGFB3	TGFBR1	activation
TGFB3	TGFBR2	activation
BAX	CYCS	activation
MECOM	CTBP1	activation
MECOM	CTBP2	activation
MECOM	HDAC1	activation
MECOM	HDAC2	activation
RUNX1	SPI1	inhibition
RUNX1	CEBPA	inhibition
RUNX1	CTBP1	activation
RUNX1	CTBP2	activation
RUNX1	HDAC1	activation
RUNX1	HDAC2	activation
RARA	SPI1	inhibition
PML	SPI1	inhibition
RUNX1T1	SPI1	inhibition
RUNX1T1	CEBPA	inhibition
MAX	ZBTB17	inhibition
CCND2	RB1	activation
CCND3	RB1	activation
CDKN1A	CCND1	inhibition
CDKN1A	CCND2	inhibition
CDKN1A	CCND3	inhibition
CDKN1A	CDK4	inhibition
CDKN1A	CDK6	inhibition
CDK4	RB1	activation
CDK6	RB1	activation
CDK2	RB1	activation
CCNE1	RB1	activation
CCNE2	RB1	activation
SKP2	CDKN1B	inhibition
CKS1B	SKP2	activation
CKS1B	SKP1	activation
CKS1B	CUL1	activation
CKS1B	RBX1	activation
CKS2	SKP2	activation
CKS2	SKP1	activation
CKS2	CUL1	activation
CKS2	RBX1	activation
CDKN2B	CCND1	inhibition
CDKN2B	CCND2	inhibition
CDKN2B	CCND3	inhibition
CDKN2B	CDK4	inhibition
CDKN2B	CDK6	inhibition
FAS	FADD	activation
FADD	CASP8	activation
CASP8	BID	activation
BCL2	BAX	inhibition
IL6	CSF2RB	activation
IL6	IL23R	activation
IL6	EPOR	activation
IL6	IFNAR1	activation
IL6	IFNAR2	activation
IL6	IFNGR1	activation
IL6	IFNGR2	activation
IL6	IL2RA	activation
IL6	IL2RB	activation
IL6	IL2RG	activation
IL6	IL3RA	activation
IL6	IL4R	activation
IL6	IL5RA	activation
IL6	IL6R	activation
IL6	IL6ST	activation
IL6	IL7R	activation
IL6	IL12RB1	activation
IL6	IL12RB2	activation
IL6	IL13RA1	activation
IL6	IL15RA	activation
MAPK1	JUN	activation
MAPK1	FOS	activation
MAPK1	MYC	activation
MAPK1	ETS1	activation
MAPK1	RPS6KA5	activation
MAPK3	JUN	activation
MAPK3	FOS	activation
MAPK3	MYC	activation
MAPK3	ETS1	activation
MAPK3	RPS6KA5	activation
AKT3	GSK3B	inhibition
AKT3	CASP9	inhibition
AKT3	BAD	inhibition
AKT3	FOXO1	inhibition
AKT3	CDKN1B	inhibition
AKT3	CDKN1A	inhibition
AKT3	CHUK	activation
AKT3	IKBKB	activation
AKT3	IKBKG	activation
AKT3	MTOR	activation
AKT3	MDM2	activation
AKT1	GSK3B	inhibition
AKT1	CASP9	inhibition
AKT1	BAD	inhibition
AKT1	FOXO1	inhibition
AKT1	CDKN1B	inhibition
AKT1	CDKN1A	inhibition
AKT1	CHUK	activation
AKT1	IKBKB	activation
AKT1	IKBKG	activation
AKT1	MTOR	activation
AKT1	MDM2	activation
AKT2	GSK3B	inhibition
AKT2	CASP9	inhibition
AKT2	BAD	inhibition
AKT2	FOXO1	inhibition
AKT2	CDKN1B	inhibition
AKT2	CDKN1A	inhibition
AKT2	CHUK	activation
AKT2	IKBKB	activation
AKT2	IKBKG	activation
AKT2	MTOR	activation
AKT2	MDM2	activation
FASLG	FAS	activation
KITLG	KIT	activation
FLT3LG	FLT3	activation
FGF1	FGFR1	activation
FGF1	FGFR3	activation
FGF1	FGFR2	activation
FGF1	FGFR4	activation
FGF2	FGFR1	activation
FGF2	FGFR3	activation
FGF2	FGFR2	activation
FGF2	FGFR4	activation
FGF3	FGFR1	activation
FGF3	FGFR3	activation
FGF3	FGFR2	activation
FGF3	FGFR4	activation
FGF4	FGFR1	activation
FGF4	FGFR3	activation
FGF4	FGFR2	activation
FGF4	FGFR4	activation
FGF5	FGFR1	activation
FGF5	FGFR3	activation
FGF5	FGFR2	activation
FGF5	FGFR4	activation
FGF6	FGFR1	activation
FGF6	FGFR3	activation
FGF6	FGFR2	activation
FGF6	FGFR4	activation
FGF7	FGFR1	activation
FGF7	FGFR3	activation
FGF7	FGFR2	activation
FGF7	FGFR4	activation
FGF8	FGFR1	activation
FGF8	FGFR3	activation
FGF8	FGFR2	activation
FGF8	FGFR4	activation
FGF9	FGFR1	activation
FGF9	FGFR3	activation
FGF9	FGFR2	activation
FGF9	FGFR4	activation
FGF10	FGFR1	activation
FGF10	FGFR3	activation
FGF10	FGFR2	activation
FGF10	FGFR4	activation
FGF20	FGFR1	activation
FGF20	FGFR3	activation
FGF20	FGFR2	activation
FGF20	FGFR4	activation
FGF21	FGFR1	activation
FGF21	FGFR3	activation
FGF21	FGFR2	activation
FGF21	FGFR4	activation
FGF22	FGFR1	activation
FGF22	FGFR3	activation
FGF22	FGFR2	activation
FGF22	FGFR4	activation
FGF23	FGFR1	activation
FGF23	FGFR3	activation
FGF23	FGFR2	activation
FGF23	FGFR4	activation
FGF18	FGFR1	activation
FGF18	FGFR3	activation
FGF18	FGFR2	activation
FGF18	FGFR4	activation
FGF17	FGFR1	activation
FGF17	FGFR3	activation
FGF17	FGFR2	activation
FGF17	FGFR4	activation
FGF16	FGFR1	activation
FGF16	FGFR3	activation
FGF16	FGFR2	activation
FGF16	FGFR4	activation
FGF19	FGFR1	activation
FGF19	FGFR3	activation
FGF19	FGFR2	activation
FGF19	FGFR4	activation
EDNRA	GNA11	activation
EDNRA	GNAQ	activation
EDNRB	GNA11	activation
EDNRB	GNAQ	activation
BDKRB1	GNA11	activation
BDKRB1	GNAQ	activation
BDKRB2	GNA11	activation
BDKRB2	GNAQ	activation
GNA11	PLCB1	activation
GNA11	PLCB2	activation
GNA11	PLCB3	activation
GNA11	PLCB4	activation
GNAQ	PLCB1	activation
GNAQ	PLCB2	activation
GNAQ	PLCB3	activation
GNAQ	PLCB4	activation
RASGRP1	HRAS	activation
RASGRP1	KRAS	activation
RASGRP1	NRAS	activation
RASGRP2	HRAS	activation
RASGRP2	KRAS	activation
RASGRP2	NRAS	activation
RASGRP4	HRAS	activation
RASGRP4	KRAS	activation
RASGRP4	NRAS	activation
RASGRP3	HRAS	activation
RASGRP3	KRAS	activation
RASGRP3	NRAS	activation
CXCL12	CXCR4	activation
JAG1	NOTCH1	activation
JAG1	NOTCH2	activation
JAG1	NOTCH3	activation
JAG1	NOTCH4	activation
JAG2	NOTCH1	activation
JAG2	NOTCH2	activation
JAG2	NOTCH3	activation
JAG2	NOTCH4	activation
DLL3	NOTCH1	activation
DLL3	NOTCH2	activation
DLL3	NOTCH3	activation
DLL3	NOTCH4	activation
DLL1	NOTCH1	activation
DLL1	NOTCH2	activation
DLL1	NOTCH3	activation
DLL1	NOTCH4	activation
DLL4	NOTCH1	activation
DLL4	NOTCH2	activation
DLL4	NOTCH3	activation
DLL4	NOTCH4	activation
KEAP1	NFE2L2	inhibition
BAK1	CYCS	activation
LRP6	DVL1	activation
LRP6	DVL2	activation
LRP6	DVL3	activation
LRP5	DVL1	activation
LRP5	DVL2	activation
LRP5	DVL3	activation
ALK	JAK1	activation
ALK	JAK2	activation
ALK	JAK3	activation
ALK	PIK3CA	activation
ALK	PIK3CB	activation
ALK	PIK3CD	activation
ALK	PIK3R1	activation
ALK	PIK3R2	activation
ALK	PIK3R3	activation
ALK	HRAS	activation
ALK	KRAS	activation
ALK	NRAS	activation
ALK	PLCG1	activation
ALK	PLCG2	activation
EML4	JAK1	activation
EML4	JAK2	activation
EML4	JAK3	activation
EML4	PIK3CA	activation
EML4	PIK3CB	activation
EML4	PIK3CD	activation
EML4	PIK3R1	activation
EML4	PIK3R2	activation
EML4	PIK3R3	activation
EML4	HRAS	activation
EML4	KRAS	activation
EML4	NRAS	activation
EML4	PLCG1	activation
EML4	PLCG2	activation
CALML6	CAMK2A	activation
CALML6	CAMK2B	activation
CALML6	CAMK2D	activation
CALML6	CAMK2G	activation
CALML5	CAMK2A	activation
CALML5	CAMK2B	activation
CALML5	CAMK2D	activation
CALML5	CAMK2G	activation
CALM1	CAMK2A	activation
CALM1	CAMK2B	activation
CALM1	CAMK2D	activation
CALM1	CAMK2G	activation
CALM2	CAMK2A	activation
CALM2	CAMK2B	activation
CALM2	CAMK2D	activation
CALM2	CAMK2G	activation
CALM3	CAMK2A	activation
CALM3	CAMK2B	activation
CALM3	CAMK2D	activation
CALM3	CAMK2G	activation
CALML3	CAMK2A	activation
CALML3	CAMK2B	activation
CALML3	CAMK2D	activation
CALML3	CAMK2G	activation
CALML4	CAMK2A	activation
CALML4	CAMK2B	activation
CALML4	CAMK2D	activation
CALML4	CAMK2G	activation
CAMK2A	HRAS	activation
CAMK2A	KRAS	activation
CAMK2A	NRAS	activation
CAMK2B	HRAS	activation
CAMK2B	KRAS	activation
CAMK2B	NRAS	activation
CAMK2D	HRAS	activation
CAMK2D	KRAS	activation
CAMK2D	NRAS	activation
CAMK2G	HRAS	activation
CAMK2G	KRAS	activation
CAMK2G	NRAS	activation
SKP1	CDKN1B	inhibition
CUL1	CDKN1B	inhibition
PMAIP1	BCL2	inhibition
BBC3	BCL2	inhibition
BCL2L11	BCL2	inhibition
EPO	CSF2RB	activation
EPO	IL23R	activation
EPO	EPOR	activation
EPO	IFNAR1	activation
EPO	IFNAR2	activation
EPO	IFNGR1	activation
EPO	IFNGR2	activation
EPO	IL2RA	activation
EPO	IL2RB	activation
EPO	IL2RG	activation
EPO	IL3RA	activation
EPO	IL4R	activation
EPO	IL5RA	activation
EPO	IL6R	activation
EPO	IL6ST	activation
EPO	IL7R	activation
EPO	IL12RB1	activation
EPO	IL12RB2	activation
EPO	IL13RA1	activation
EPO	IL15RA	activation
IFNA1	CSF2RB	activation
IFNA1	IL23R	activation
IFNA1	EPOR	activation
IFNA1	IFNAR1	activation
IFNA1	IFNAR2	activation
IFNA1	IFNGR1	activation
IFNA1	IFNGR2	activation
IFNA1	IL2RA	activation
IFNA1	IL2RB	activation
IFNA1	IL2RG	activation
IFNA1	IL3RA	activation
IFNA1	IL4R	activation
IFNA1	IL5RA	activation
IFNA1	IL6R	activation
IFNA1	IL6ST	activation
IFNA1	IL7R	activation
IFNA1	IL12RB1	activation
IFNA1	IL12RB2	activation
IFNA1	IL13RA1	activation
IFNA1	IL15RA	activation
