SERPINE1	PLAT	inhibition
GNG5	ADCY3	inhibition
GNG5	ADCY5	inhibition
GNG5	ADCY6	inhibition
GNG5	ADCY7	inhibition
GNG5	ADCY8	inhibition
GNG5	ADCY9	inhibition
GNG5	ADCY4	inhibition
GNG5	ADCY10	inhibition
GNG5	CAMK4	activation
GNG7	PIK3R6	activation
GNG7	PIK3R5	activation
GNG7	PIK3CG	activation
GNG7	PRKCE	activation
GNG7	PRKAG2	activation
GNG7	PRKAG3	activation
GNG7	PRKAA1	activation
GNG7	PRKAA2	activation
GNG7	PRKAB1	activation
GNG7	PRKAB2	activation
GNG7	PRKAG1	activation
GNG7	RRAS2	activation
GNG7	MRAS	activation
GNG7	HRAS	activation
GNG7	KRAS	activation
GNG7	NRAS	activation
GNG7	RRAS	activation
GNG7	PLCB1	activation
GNG7	PLCB2	activation
GNG7	PLCB3	activation
GNG7	PLCB4	activation
GNG7	ADCY1	inhibition
GNG7	ADCY2	inhibition
GNG7	ADCY3	inhibition
GNG7	ADCY5	inhibition
GNG7	ADCY6	inhibition
GNG7	ADCY7	inhibition
GNG7	ADCY8	inhibition
GNG7	ADCY9	inhibition
GNG7	ADCY4	inhibition
GNG7	ADCY10	inhibition
GNG7	CAMK4	activation
GNG10	PIK3R6	activation
GNG10	PIK3R5	activation
GNG10	PIK3CG	activation
GNG10	PRKCE	activation
GNG10	PRKAG2	activation
GNG10	PRKAG3	activation
GNG10	PRKAA1	activation
GNG10	PRKAA2	activation
GNG10	PRKAB1	activation
GNG10	PRKAB2	activation
GNG10	PRKAG1	activation
GNG10	RRAS2	activation
GNG10	MRAS	activation
GNG10	HRAS	activation
GNG10	KRAS	activation
GNG10	NRAS	activation
GNG10	RRAS	activation
GNG10	PLCB1	activation
GNG10	PLCB2	activation
GNG10	PLCB3	activation
GNG10	PLCB4	activation
GNG10	ADCY1	inhibition
GNG10	ADCY2	inhibition
GNG10	ADCY3	inhibition
GNG10	ADCY5	inhibition
GNG10	ADCY6	inhibition
GNG10	ADCY7	inhibition
GNG10	ADCY8	inhibition
GNG10	ADCY9	inhibition
GNG10	ADCY4	inhibition
GNG10	ADCY10	inhibition
GNG10	CAMK4	activation
GNG11	PIK3R6	activation
GNG11	PIK3R5	activation
GNG11	PIK3CG	activation
GNG11	PRKCE	activation
GNG11	PRKAG2	activation
GNG11	PRKAG3	activation
GNG11	PRKAA1	activation
GNG11	PRKAA2	activation
GNG11	PRKAB1	activation
GNG11	PRKAB2	activation
GNG11	PRKAG1	activation
GNG11	RRAS2	activation
GNG11	MRAS	activation
GNG11	HRAS	activation
GNG11	KRAS	activation
GNG11	NRAS	activation
GNG11	RRAS	activation
GNG11	PLCB1	activation
GNG11	PLCB2	activation
GNG11	PLCB3	activation
GNG11	PLCB4	activation
GNG11	ADCY1	inhibition
GNG11	ADCY2	inhibition
GNG11	ADCY3	inhibition
GNG11	ADCY5	inhibition
GNG11	ADCY6	inhibition
GNG11	ADCY7	inhibition
GNG11	ADCY8	inhibition
GNG11	ADCY9	inhibition
GNG11	ADCY4	inhibition
GNG11	ADCY10	inhibition
GNG11	CAMK4	activation
GNGT1	PIK3R6	activation
GNGT1	PIK3R5	activation
GNGT1	PIK3CG	activation
GNGT1	PRKCE	activation
GNGT1	PRKAG2	activation
GNGT1	PRKAG3	activation
GNGT1	PRKAA1	activation
GNGT1	PRKAA2	activation
GNGT1	PRKAB1	activation
GNGT1	PRKAB2	activation
GNGT1	PRKAG1	activation
GNGT1	RRAS2	activation
GNGT1	MRAS	activation
GNGT1	HRAS	activation
GNGT1	KRAS	activation
GNGT1	NRAS	activation
GNGT1	RRAS	activation
GNGT1	PLCB1	activation
GNGT1	PLCB2	activation
GNGT1	PLCB3	activation
GNGT1	PLCB4	activation
GNGT1	ADCY1	inhibition
GNGT1	ADCY2	inhibition
GNGT1	ADCY3	inhibition
GNGT1	ADCY5	inhibition
GNGT1	ADCY6	inhibition
GNGT1	ADCY7	inhibition
GNGT1	ADCY8	inhibition
GNGT1	ADCY9	inhibition
GNGT1	ADCY4	inhibition
GNGT1	ADCY10	inhibition
GNGT1	CAMK4	activation
GNGT2	PIK3R6	activation
GNGT2	PIK3R5	activation
GNGT2	PIK3CG	activation
GNGT2	PRKCE	activation
GNGT2	PRKAG2	activation
GNGT2	PRKAG3	activation
GNGT2	PRKAA1	activation
GNGT2	PRKAA2	activation
GNGT2	PRKAB1	activation
GNGT2	PRKAB2	activation
GNGT2	PRKAG1	activation
GNGT2	RRAS2	activation
GNGT2	MRAS	activation
GNGT2	HRAS	activation
GNGT2	KRAS	activation
GNGT2	NRAS	activation
GNGT2	RRAS	activation
GNGT2	PLCB1	activation
GNGT2	PLCB2	activation
GNGT2	PLCB3	activation
GNGT2	PLCB4	activation
GNGT2	ADCY1	inhibition
GNGT2	ADCY2	inhibition
GNGT2	ADCY3	inhibition
GNGT2	ADCY5	inhibition
GNGT2	ADCY6	inhibition
GNGT2	ADCY7	inhibition
GNGT2	ADCY8	inhibition
GNGT2	ADCY9	inhibition
GNGT2	ADCY4	inhibition
GNGT2	ADCY10	inhibition
GNGT2	CAMK4	activation
GNG13	PIK3R6	activation
GNG13	PIK3R5	activation
GNG13	PIK3CG	activation
GNG13	PRKCE	activation
GNG13	PRKAG2	activation
GNG13	PRKAG3	activation
GNG13	PRKAA1	activation
GNG13	PRKAA2	activation
GNG13	PRKAB1	activation
GNG13	PRKAB2	activation
GNG13	PRKAG1	activation
GNG13	RRAS2	activation
GNG13	MRAS	activation
GNG13	HRAS	activation
GNG13	KRAS	activation
GNG13	NRAS	activation
GNG13	RRAS	activation
GNG13	PLCB1	activation
GNG13	PLCB2	activation
GNG13	PLCB3	activation
GNG13	PLCB4	activation
GNG13	ADCY1	inhibition
GNG13	ADCY2	inhibition
GNG13	ADCY3	inhibition
GNG13	ADCY5	inhibition
GNG13	ADCY6	inhibition
GNG13	ADCY7	inhibition
GNG13	ADCY8	inhibition
GNG13	ADCY9	inhibition
GNG13	ADCY4	inhibition
GNG13	ADCY10	inhibition
GNG13	CAMK4	activation
GNG2	PIK3R6	activation
GNG2	PIK3R5	activation
GNG2	PIK3CG	activation
GNG2	PRKCE	activation
GNG2	PRKAG2	activation
GNG2	PRKAG3	activation
GNG2	PRKAA1	activation
GNG2	PRKAA2	activation
GNG2	PRKAB1	activation
GNG2	PRKAB2	activation
GNG2	PRKAG1	activation
GNG2	RRAS2	activation
GNG2	MRAS	activation
GNG2	HRAS	activation
GNG2	KRAS	activation
GNG2	NRAS	activation
GNG2	RRAS	activation
GNG2	PLCB1	activation
GNG2	PLCB2	activation
GNG2	PLCB3	activation
GNG2	PLCB4	activation
GNG2	ADCY1	inhibition
GNG2	ADCY2	inhibition
GNG2	ADCY3	inhibition
GNG2	ADCY5	inhibition
GNG2	ADCY6	inhibition
GNG2	ADCY7	inhibition
GNG2	ADCY8	inhibition
GNG2	ADCY9	inhibition
GNG2	ADCY4	inhibition
GNG2	ADCY10	inhibition
GNG2	CAMK4	activation
GNG12	PIK3R6	activation
GNG12	PIK3R5	activation
GNG12	PIK3CG	activation
GNG12	PRKCE	activation
GNG12	PRKAG2	activation
GNG12	PRKAG3	activation
GNG12	PRKAA1	activation
GNG12	PRKAA2	activation
GNG12	PRKAB1	activation
GNG12	PRKAB2	activation
GNG12	PRKAG1	activation
GNG12	RRAS2	activation
GNG12	MRAS	activation
GNG12	HRAS	activation
GNG12	KRAS	activation
GNG12	NRAS	activation
GNG12	RRAS	activation
GNG12	PLCB1	activation
GNG12	PLCB2	activation
GNG12	PLCB3	activation
GNG12	PLCB4	activation
GNG12	ADCY1	inhibition
GNG12	ADCY2	inhibition
GNG12	ADCY3	inhibition
GNG12	ADCY5	inhibition
GNG12	ADCY6	inhibition
GNG12	ADCY7	inhibition
GNG12	ADCY8	inhibition
GNG12	ADCY9	inhibition
GNG12	ADCY4	inhibition
GNG12	ADCY10	inhibition
GNG12	CAMK4	activation
GNB4	PIK3R6	activation
GNB4	PIK3R5	activation
GNB4	PIK3CG	activation
GNB4	PRKCE	activation
GNB4	PRKAG2	activation
GNB4	PRKAG3	activation
GNB4	PRKAA1	activation
GNB4	PRKAA2	activation
GNB4	PRKAB1	activation
GNB4	PRKAB2	activation
GNB4	PRKAG1	activation
GNB4	RRAS2	activation
GNB4	MRAS	activation
GNB4	HRAS	activation
GNB4	KRAS	activation
GNB4	NRAS	activation
GNB4	RRAS	activation
GNB4	PLCB1	activation
GNB4	PLCB2	activation
GNB4	PLCB3	activation
GNB4	PLCB4	activation
GNB4	ADCY1	inhibition
GNB4	ADCY2	inhibition
GNB4	ADCY3	inhibition
GNB4	ADCY5	inhibition
GNB4	ADCY6	inhibition
GNB4	ADCY7	inhibition
GNB4	ADCY8	inhibition
GNB4	ADCY9	inhibition
GNB4	ADCY4	inhibition
GNB4	ADCY10	inhibition
GNB4	CAMK4	activation
GNG8	PIK3R6	activation
GNG8	PIK3R5	activation
GNG8	PIK3CG	activation
GNG8	PRKCE	activation
GNG8	PRKAG2	activation
GNG8	PRKAG3	activation
GNG8	PRKAA1	activation
GNG8	PRKAA2	activation
GNG8	PRKAB1	activation
GNG8	PRKAB2	activation
GNG8	PRKAG1	activation
GNG8	RRAS2	activation
GNG8	MRAS	activation
GNG8	HRAS	activation
GNG8	KRAS	activation
GNG8	NRAS	activation
GNG8	RRAS	activation
GNG8	PLCB1	activation
GNG8	PLCB2	activation
GNG8	PLCB3	activation
GNG8	PLCB4	activation
GNG8	ADCY1	inhibition
GNG8	ADCY2	inhibition
GNG8	ADCY3	inhibition
GNG8	ADCY5	inhibition
GNG8	ADCY6	inhibition
GNG8	ADCY7	inhibition
GNG8	ADCY8	inhibition
GNG8	ADCY9	inhibition
GNG8	ADCY4	inhibition
GNG8	ADCY10	inhibition
GNG8	CAMK4	activation
AKT3	NOS1	activation
AKT3	NOS2	activation
AKT3	NOS3	activation
AKT3	MAPK1	activation
AKT3	MAPK3	activation
AKT3	PDE3B	activation
AKT3	MTOR	activation
AKT1	NOS1	activation
AKT1	NOS2	activation
AKT1	NOS3	activation
AKT1	MAPK1	activation
AKT1	MAPK3	activation
AKT1	PDE3B	activation
AKT1	MTOR	activation
AKT2	NOS1	activation
AKT2	NOS2	activation
AKT2	NOS3	activation
AKT2	MAPK1	activation
AKT2	MAPK3	activation
AKT2	PDE3B	activation
AKT2	MTOR	activation
MAP2K1	MAPK1	activation
MAP2K1	MAPK3	activation
MAP2K2	MAPK1	activation
MAP2K2	MAPK3	activation
MAPK1	RPS6KB1	activation
MAPK1	RPS6KB2	activation
MAPK1	SLC9A1	activation
MAPK3	RPS6KB1	activation
MAPK3	RPS6KB2	activation
MAPK3	SLC9A1	activation
RPS6KB1	RPS6	activation
RPS6KB2	RPS6	activation
MTOR	RPS6KB1	activation
MTOR	RPS6KB2	activation
RRAS2	RAF1	activation
MRAS	RAF1	activation
HRAS	RAF1	activation
KRAS	RAF1	activation
NRAS	RAF1	activation
RRAS	RAF1	activation
RAF1	MAP2K1	activation
RAF1	MAP2K2	activation
TGFBR1	SMAD2	activation
TGFBR1	SMAD3	activation
MYLK4	MYL2	activation
MYLK4	MYL3	activation
MYLK4	MYL4	activation
MYLK	MYL2	activation
MYLK	MYL3	activation
MYLK	MYL4	activation
MYLK2	MYL2	activation
MYLK2	MYL3	activation
MYLK2	MYL4	activation
MYLK3	MYL2	activation
MYLK3	MYL3	activation
MYLK3	MYL4	activation
PRKCE	RRAS2	activation
PRKCE	MRAS	activation
PRKCE	HRAS	activation
PRKCE	KRAS	activation
PRKCE	NRAS	activation
PRKCE	RRAS	activation
PRKCE	SLC9A1	activation
PRKCE	MYLK4	activation
PRKCE	MYLK	activation
PRKCE	MYLK2	activation
PRKCE	MYLK3	activation
PRKACA	LIPE	activation
PRKACB	LIPE	activation
PRKACG	LIPE	activation
GNA13	CAMK4	activation
BECN2	GABARAP	activation
BECN2	GABARAPL2	activation
BECN2	GABARAPL1	activation
BECN1	GABARAP	activation
BECN1	GABARAPL2	activation
BECN1	GABARAPL1	activation
GNAQ	PRKAG2	activation
GNAQ	PRKAG3	activation
GNAQ	PRKAA1	activation
GNAQ	PRKAA2	activation
GNAQ	PRKAB1	activation
GNAQ	PRKAB2	activation
GNAQ	PRKAG1	activation
GNAQ	RRAS2	activation
GNAQ	MRAS	activation
GNAQ	HRAS	activation
GNAQ	KRAS	activation
GNAQ	NRAS	activation
GNAQ	RRAS	activation
GNAQ	PLCB1	activation
GNAQ	PLCB2	activation
GNAQ	PLCB3	activation
GNAQ	PLCB4	activation
CAMK4	HDAC5	inhibition
CAMK4	HDAC4	inhibition
CALML6	MYLK4	activation
CALML6	MYLK	activation
CALML6	MYLK2	activation
CALML6	MYLK3	activation
CALML6	NOS1	activation
CALML6	NOS2	activation
CALML6	NOS3	activation
CALML5	MYLK4	activation
CALML5	MYLK	activation
CALML5	MYLK2	activation
CALML5	MYLK3	activation
CALML5	NOS1	activation
CALML5	NOS2	activation
CALML5	NOS3	activation
CALM1	MYLK4	activation
CALM1	MYLK	activation
CALM1	MYLK2	activation
CALM1	MYLK3	activation
CALM1	NOS1	activation
CALM1	NOS2	activation
CALM1	NOS3	activation
CALM2	MYLK4	activation
CALM2	MYLK	activation
CALM2	MYLK2	activation
CALM2	MYLK3	activation
CALM2	NOS1	activation
CALM2	NOS2	activation
CALM2	NOS3	activation
CALM3	MYLK4	activation
CALM3	MYLK	activation
CALM3	MYLK2	activation
CALM3	MYLK3	activation
CALM3	NOS1	activation
CALM3	NOS2	activation
CALM3	NOS3	activation
CALML3	MYLK4	activation
CALML3	MYLK	activation
CALML3	MYLK2	activation
CALML3	MYLK3	activation
CALML3	NOS1	activation
CALML3	NOS2	activation
CALML3	NOS3	activation
CALML4	MYLK4	activation
CALML4	MYLK	activation
CALML4	MYLK2	activation
CALML4	MYLK3	activation
CALML4	NOS1	activation
CALML4	NOS2	activation
CALML4	NOS3	activation
APLN	APLNR	activation
AGTR1	SERPINE1	activation
