TNF	TNFRSF1A	activation
IFNA17	IFNGR2	activation
IFNA21	IFNAR1	activation
IFNA21	IFNAR2	activation
IFNA21	IFNGR1	activation
IFNA21	IFNGR2	activation
IFNB1	IFNAR1	activation
IFNB1	IFNAR2	activation
IFNB1	IFNGR1	activation
IFNB1	IFNGR2	activation
IFNG	IFNAR1	activation
IFNG	IFNAR2	activation
IFNG	IFNGR1	activation
IFNG	IFNGR2	activation
JAK1	STAT1	activation
JAK1	STAT2	activation
JAK1	STAT3	activation
JAK1	STAT4	activation
JAK1	STAT5A	activation
JAK1	STAT5B	activation
JAK1	STAT6	activation
JAK2	STAT1	activation
JAK2	STAT2	activation
JAK2	STAT3	activation
JAK2	STAT4	activation
JAK2	STAT5A	activation
JAK2	STAT5B	activation
JAK2	STAT6	activation
JAK3	STAT1	activation
JAK3	STAT2	activation
JAK3	STAT3	activation
JAK3	STAT4	activation
JAK3	STAT5A	activation
JAK3	STAT5B	activation
JAK3	STAT6	activation
TYK2	STAT1	activation
TYK2	STAT2	activation
TYK2	STAT3	activation
TYK2	STAT4	activation
TYK2	STAT5A	activation
TYK2	STAT5B	activation
TYK2	STAT6	activation
TNFRSF10B	RIPK1	activation
TNFRSF10A	RIPK1	activation
TNFSF10	TNFRSF10B	activation
TNFSF10	TNFRSF10A	activation
FAS	FADD	activation
FAS	FAF1	activation
FASLG	FAS	activation
BIRC2	RIPK1	inhibition
BIRC3	RIPK1	inhibition
XIAP	RIPK1	inhibition
CASP8	CYLD	inhibition
CASP8	RIPK1	inhibition
CASP8	RIPK3	inhibition
CFLAR	CASP8	inhibition
CYLD	RIPK1	activation
TLR3	TICAM1	activation
RIPK1	RIPK3	activation
RIPK1	SLC25A4	inhibition
RIPK1	SLC25A5	inhibition
RIPK1	SLC25A6	inhibition
RIPK1	SLC25A31	inhibition
FADD	RIPK1	activation
TNFAIP3	RIPK3	inhibition
FAF1	RIPK1	activation
EIF2AK2	RIPK1	activation
RIPK3	CYBB	activation
RIPK3	CAMK2A	activation
RIPK3	CAMK2B	activation
RIPK3	CAMK2D	activation
RIPK3	CAMK2G	activation
RIPK3	GLUD1	activation
RIPK3	GLUD2	activation
RIPK3	GLUL	activation
RIPK3	PYGB	activation
RIPK3	PYGL	activation
RIPK3	PYGM	activation
RIPK3	MLKL	activation
RIPK3	SMPD1	activation
RIPK3	MAPK8	activation
RIPK3	MAPK9	activation
RIPK3	MAPK10	activation
TICAM1	RIPK3	activation
RBCK1	RIPK1	inhibition
RNF31	RIPK1	inhibition
SHARPIN	RIPK1	inhibition
TICAM2	TICAM1	activation
HSP90AA1	RIPK1	activation
HSP90AA1	RIPK3	activation
HSP90AA1	MLKL	activation
HSP90AB1	RIPK1	activation
HSP90AB1	RIPK3	activation
HSP90AB1	MLKL	activation
ZBP1	RIPK3	activation
SPATA2L	CYLD	activation
SPATA2	CYLD	activation
USP21	RIPK1	activation
PGAM5	DNM1L	activation
CASP1	IL1B	activation
MAPK8	FTH1	inhibition
MAPK8	FTL	inhibition
MAPK9	FTH1	inhibition
MAPK9	FTL	inhibition
MAPK10	FTH1	inhibition
MAPK10	FTL	inhibition
CAPN1	BID	activation
CAPN2	BID	activation
BID	BAX	activation
BAX	AIFM1	activation
BCL2	BAX	inhibition
CAMK2A	SLC25A4	activation
CAMK2A	SLC25A5	activation
CAMK2A	SLC25A6	activation
CAMK2A	SLC25A31	activation
CAMK2A	VDAC1	activation
CAMK2A	VDAC2	activation
CAMK2A	VDAC3	activation
CAMK2A	PPID	activation
CAMK2B	SLC25A4	activation
CAMK2B	SLC25A5	activation
CAMK2B	SLC25A6	activation
CAMK2B	SLC25A31	activation
CAMK2B	VDAC1	activation
CAMK2B	VDAC2	activation
CAMK2B	VDAC3	activation
CAMK2B	PPID	activation
CAMK2D	SLC25A4	activation
CAMK2D	SLC25A5	activation
CAMK2D	SLC25A6	activation
CAMK2D	SLC25A31	activation
CAMK2D	VDAC1	activation
CAMK2D	VDAC2	activation
CAMK2D	VDAC3	activation
CAMK2D	PPID	activation
CAMK2G	SLC25A4	activation
CAMK2G	SLC25A5	activation
CAMK2G	SLC25A6	activation
CAMK2G	SLC25A31	activation
CAMK2G	VDAC1	activation
CAMK2G	VDAC2	activation
CAMK2G	VDAC3	activation
CAMK2G	PPID	activation
CYBB	CAMK2A	activation
CYBB	CAMK2B	activation
CYBB	CAMK2D	activation
CYBB	CAMK2G	activation
SQSTM1	RIPK1	activation
