F2	F2R	activation
RAC3	PAK6	activation
RAC3	PAK5	activation
RAC3	ABI2	inhibition
RAC3	NCKAP1	inhibition
RAC3	NCKAP1L	inhibition
RAC3	CYFIP1	inhibition
RAC3	CYFIP2	inhibition
RHOA	ROCK1	activation
RHOA	ROCK2	activation
RHOA	DIAPH1	activation
RHOA	DIAPH2	activation
RHOA	RAC1	inhibition
RHOA	RAC2	inhibition
RHOA	RAC3	inhibition
ARHGEF12	RHOA	activation
ARHGEF1	RHOA	activation
ARHGAP35	RHOA	inhibition
VAV3	RAC1	activation
VAV3	RAC2	activation
VAV3	RAC3	activation
TIAM1	RAC1	activation
TIAM1	RAC2	activation
TIAM1	RAC3	activation
VAV1	RAC1	activation
VAV1	RAC2	activation
VAV1	RAC3	activation
VAV2	RAC1	activation
VAV2	RAC2	activation
VAV2	RAC3	activation
MAPK1	ROCK1	inhibition
MAPK1	ROCK2	inhibition
MAPK3	ROCK1	inhibition
MAPK3	ROCK2	inhibition
DOCK1	RAC1	activation
DOCK1	RAC2	activation
DOCK1	RAC3	activation
FGD1	CDC42	activation
FGD3	CDC42	activation
GNG12	FGD1	activation
GNG12	FGD3	activation
GNG12	PAK4	activation
GNG12	BUB1B-PAK6	activation
GNG12	PAK1	activation
GNG12	PAK2	activation
GNG12	PAK3	activation
GNG12	PAK6	activation
GNG12	PAK5	activation
CRK	DOCK1	activation
CRKL	DOCK1	activation
BCAR1	DOCK1	activation
PTK2	DOCK1	activation
CHRM1	GNG12	activation
CHRM2	GNG12	activation
CHRM3	GNG12	activation
CHRM4	GNG12	activation
CHRM5	GNG12	activation
BDKRB1	GNG12	activation
BDKRB2	GNG12	activation
ITGA11	SRC	activation
ITGA11	CRK	activation
ITGA11	CRKL	activation
ITGA11	BCAR1	activation
ITGA11	PTK2	activation
ITGA6	SRC	activation
ITGA6	CRK	activation
ITGA6	CRKL	activation
ITGA6	BCAR1	activation
ITGA6	PTK2	activation
ITGA1	SRC	activation
ITGA1	CRK	activation
ITGA1	CRKL	activation
ITGA1	BCAR1	activation
ITGA1	PTK2	activation
ITGA2	SRC	activation
ITGA2	CRK	activation
ITGA2	CRKL	activation
ITGA2	BCAR1	activation
ITGA2	PTK2	activation
ITGA2B	SRC	activation
ITGA2B	CRK	activation
ITGA2B	CRKL	activation
ITGA2B	BCAR1	activation
ITGA2B	PTK2	activation
ITGA3	SRC	activation
ITGA3	CRK	activation
ITGA3	CRKL	activation
ITGA3	BCAR1	activation
ITGA3	PTK2	activation
ITGA4	SRC	activation
ITGA4	CRK	activation
ITGA4	CRKL	activation
ITGA4	BCAR1	activation
ITGA4	PTK2	activation
ITGA5	SRC	activation
ITGA5	CRK	activation
ITGA5	CRKL	activation
ITGA5	BCAR1	activation
ITGA5	PTK2	activation
ITGA7	SRC	activation
ITGA7	CRK	activation
ITGA7	CRKL	activation
ITGA7	BCAR1	activation
ITGA7	PTK2	activation
ITGA9	SRC	activation
ITGA9	CRK	activation
ITGA9	CRKL	activation
ITGA9	BCAR1	activation
ITGA9	PTK2	activation
ITGAD	SRC	activation
ITGAD	CRK	activation
ITGAD	CRKL	activation
ITGAD	BCAR1	activation
ITGAD	PTK2	activation
ITGAE	SRC	activation
ITGAE	CRK	activation
ITGAE	CRKL	activation
ITGAE	BCAR1	activation
ITGAE	PTK2	activation
ITGAL	SRC	activation
ITGAL	CRK	activation
ITGAL	CRKL	activation
ITGAL	BCAR1	activation
ITGAL	PTK2	activation
ITGAM	SRC	activation
ITGAM	CRK	activation
ITGAM	CRKL	activation
ITGAM	BCAR1	activation
ITGAM	PTK2	activation
ITGAV	SRC	activation
ITGAV	CRK	activation
ITGAV	CRKL	activation
ITGAV	BCAR1	activation
ITGAV	PTK2	activation
ITGAX	SRC	activation
ITGAX	CRK	activation
ITGAX	CRKL	activation
ITGAX	BCAR1	activation
ITGAX	PTK2	activation
ITGB1	SRC	activation
ITGB1	CRK	activation
ITGB1	CRKL	activation
ITGB1	BCAR1	activation
ITGB1	PTK2	activation
ITGB2	SRC	activation
ITGB2	CRK	activation
ITGB2	CRKL	activation
ITGB2	BCAR1	activation
ITGB2	PTK2	activation
ITGB3	SRC	activation
ITGB3	CRK	activation
ITGB3	CRKL	activation
ITGB3	BCAR1	activation
ITGB3	PTK2	activation
ITGB4	SRC	activation
ITGB4	CRK	activation
ITGB4	CRKL	activation
ITGB4	BCAR1	activation
ITGB4	PTK2	activation
ITGB5	SRC	activation
ITGB5	CRK	activation
ITGB5	CRKL	activation
ITGB5	BCAR1	activation
ITGB5	PTK2	activation
ITGB6	SRC	activation
ITGB6	CRK	activation
ITGB6	CRKL	activation
ITGB6	BCAR1	activation
ITGB6	PTK2	activation
ITGB7	SRC	activation
ITGB7	CRK	activation
ITGB7	CRKL	activation
ITGB7	BCAR1	activation
ITGB7	PTK2	activation
ITGB8	SRC	activation
ITGB8	CRK	activation
ITGB8	CRKL	activation
ITGB8	BCAR1	activation
ITGB8	PTK2	activation
ITGA10	SRC	activation
ITGA10	CRK	activation
ITGA10	CRKL	activation
ITGA10	BCAR1	activation
ITGA10	PTK2	activation
ITGA8	SRC	activation
ITGA8	CRK	activation
ITGA8	CRKL	activation
ITGA8	BCAR1	activation
ITGA8	PTK2	activation
FN1	ITGA11	activation
FN1	ITGA6	activation
FN1	ITGA1	activation
FN1	ITGA2	activation
FN1	ITGA2B	activation
FN1	ITGA3	activation
FN1	ITGA4	activation
FN1	ITGA5	activation
FN1	ITGA7	activation
FN1	ITGA9	activation
FN1	ITGAD	activation
FN1	ITGAE	activation
FN1	ITGAL	activation
FN1	ITGAM	activation
FN1	ITGAV	activation
FN1	ITGAX	activation
FN1	ITGB1	activation
FN1	ITGB2	activation
FN1	ITGB3	activation
FN1	ITGB4	activation
FN1	ITGB5	activation
FN1	ITGB6	activation
FN1	ITGB7	activation
FN1	ITGB8	activation
FN1	ITGA10	activation
FN1	ITGA8	activation
RRAS2	ARAF	activation
RRAS2	MOS	activation
RRAS2	RAF1	activation
RRAS2	BRAF	activation
RRAS2	PIK3CA	activation
RRAS2	PIK3CB	activation
RRAS2	PIK3CD	activation
RRAS2	PIK3R1	activation
RRAS2	PIK3R2	activation
RRAS2	PIK3R3	activation
RRAS2	ARHGEF6	activation
MRAS	ARAF	activation
MRAS	MOS	activation
MRAS	RAF1	activation
MRAS	BRAF	activation
MRAS	PIK3CA	activation
MRAS	PIK3CB	activation
MRAS	PIK3CD	activation
MRAS	PIK3R1	activation
MRAS	PIK3R2	activation
MRAS	PIK3R3	activation
MRAS	ARHGEF6	activation
HRAS	ARAF	activation
HRAS	MOS	activation
HRAS	RAF1	activation
HRAS	BRAF	activation
HRAS	PIK3CA	activation
HRAS	PIK3CB	activation
HRAS	PIK3CD	activation
HRAS	PIK3R1	activation
HRAS	PIK3R2	activation
HRAS	PIK3R3	activation
HRAS	ARHGEF6	activation
KRAS	ARAF	activation
KRAS	MOS	activation
KRAS	RAF1	activation
KRAS	BRAF	activation
KRAS	PIK3CA	activation
KRAS	PIK3CB	activation
KRAS	PIK3CD	activation
KRAS	PIK3R1	activation
KRAS	PIK3R2	activation
KRAS	PIK3R3	activation
KRAS	ARHGEF6	activation
NRAS	ARAF	activation
NRAS	MOS	activation
NRAS	RAF1	activation
NRAS	BRAF	activation
NRAS	PIK3CA	activation
NRAS	PIK3CB	activation
NRAS	PIK3CD	activation
NRAS	PIK3R1	activation
NRAS	PIK3R2	activation
NRAS	PIK3R3	activation
NRAS	ARHGEF6	activation
RRAS	ARAF	activation
RRAS	MOS	activation
RRAS	RAF1	activation
RRAS	BRAF	activation
RRAS	PIK3CA	activation
RRAS	PIK3CB	activation
RRAS	PIK3CD	activation
RRAS	PIK3R1	activation
RRAS	PIK3R2	activation
RRAS	PIK3R3	activation
RRAS	ARHGEF6	activation
GNA13	ARHGEF12	activation
GNA13	ARHGEF1	activation
GNA12	ARHGEF12	activation
GNA12	ARHGEF1	activation
SOS1	RRAS2	activation
SOS1	MRAS	activation
SOS1	HRAS	activation
SOS1	KRAS	activation
SOS1	NRAS	activation
SOS1	RRAS	activation
SOS2	RRAS2	activation
SOS2	MRAS	activation
SOS2	HRAS	activation
SOS2	KRAS	activation
SOS2	NRAS	activation
SOS2	RRAS	activation
EGFR	SOS1	activation
EGFR	SOS2	activation
FGFR1	SOS1	activation
FGFR1	SOS2	activation
FGFR3	SOS1	activation
FGFR3	SOS2	activation
FGFR2	SOS1	activation
FGFR2	SOS2	activation
FGFR4	SOS1	activation
FGFR4	SOS2	activation
INSRR	SOS1	activation
INSRR	SOS2	activation
PDGFRA	SOS1	activation
PDGFRA	SOS2	activation
PDGFRB	SOS1	activation
PDGFRB	SOS2	activation
EGF	EGFR	activation
EGF	FGFR1	activation
EGF	FGFR3	activation
EGF	FGFR2	activation
EGF	FGFR4	activation
EGF	INSRR	activation
EGF	PDGFRA	activation
EGF	PDGFRB	activation
FGF1	EGFR	activation
FGF1	FGFR1	activation
FGF1	FGFR3	activation
FGF1	FGFR2	activation
FGF1	FGFR4	activation
FGF1	INSRR	activation
FGF1	PDGFRA	activation
FGF1	PDGFRB	activation
FGF2	EGFR	activation
FGF2	FGFR1	activation
FGF2	FGFR3	activation
FGF2	FGFR2	activation
FGF2	FGFR4	activation
FGF2	INSRR	activation
FGF2	PDGFRA	activation
FGF2	PDGFRB	activation
FGF3	EGFR	activation
FGF3	FGFR1	activation
FGF3	FGFR3	activation
FGF3	FGFR2	activation
FGF3	FGFR4	activation
FGF3	INSRR	activation
FGF3	PDGFRA	activation
FGF3	PDGFRB	activation
FGF4	EGFR	activation
FGF4	FGFR1	activation
FGF4	FGFR3	activation
FGF4	FGFR2	activation
FGF4	FGFR4	activation
FGF4	INSRR	activation
FGF4	PDGFRA	activation
FGF4	PDGFRB	activation
FGF5	EGFR	activation
FGF5	FGFR1	activation
FGF5	FGFR3	activation
FGF5	FGFR2	activation
FGF5	FGFR4	activation
FGF5	INSRR	activation
FGF5	PDGFRA	activation
FGF5	PDGFRB	activation
FGF6	EGFR	activation
FGF6	FGFR1	activation
FGF6	FGFR3	activation
FGF6	FGFR2	activation
FGF6	FGFR4	activation
FGF6	INSRR	activation
FGF6	PDGFRA	activation
FGF6	PDGFRB	activation
FGF7	EGFR	activation
FGF7	FGFR1	activation
FGF7	FGFR3	activation
FGF7	FGFR2	activation
FGF7	FGFR4	activation
FGF7	INSRR	activation
FGF7	PDGFRA	activation
FGF7	PDGFRB	activation
FGF8	EGFR	activation
FGF8	FGFR1	activation
FGF8	FGFR3	activation
FGF8	FGFR2	activation
FGF8	FGFR4	activation
FGF8	INSRR	activation
FGF8	PDGFRA	activation
FGF8	PDGFRB	activation
FGF9	EGFR	activation
FGF9	FGFR1	activation
FGF9	FGFR3	activation
FGF9	FGFR2	activation
FGF9	FGFR4	activation
FGF9	INSRR	activation
FGF9	PDGFRA	activation
FGF9	PDGFRB	activation
FGF10	EGFR	activation
FGF10	FGFR1	activation
FGF10	FGFR3	activation
FGF10	FGFR2	activation
FGF10	FGFR4	activation
FGF10	INSRR	activation
FGF10	PDGFRA	activation
FGF10	PDGFRB	activation
FGF20	EGFR	activation
FGF20	FGFR1	activation
FGF20	FGFR3	activation
FGF20	FGFR2	activation
FGF20	FGFR4	activation
FGF20	INSRR	activation
FGF20	PDGFRA	activation
FGF20	PDGFRB	activation
FGF21	EGFR	activation
FGF21	FGFR1	activation
FGF21	FGFR3	activation
FGF21	FGFR2	activation
FGF21	FGFR4	activation
FGF21	INSRR	activation
FGF21	PDGFRA	activation
FGF21	PDGFRB	activation
FGF22	EGFR	activation
FGF22	FGFR1	activation
FGF22	FGFR3	activation
FGF22	FGFR2	activation
FGF22	FGFR4	activation
FGF22	INSRR	activation
FGF22	PDGFRA	activation
FGF22	PDGFRB	activation
PDGFA	EGFR	activation
PDGFA	FGFR1	activation
PDGFA	FGFR3	activation
PDGFA	FGFR2	activation
PDGFA	FGFR4	activation
PDGFA	INSRR	activation
PDGFA	PDGFRA	activation
PDGFA	PDGFRB	activation
PDGFB	EGFR	activation
PDGFB	FGFR1	activation
PDGFB	FGFR3	activation
PDGFB	FGFR2	activation
PDGFB	FGFR4	activation
PDGFB	INSRR	activation
PDGFB	PDGFRA	activation
PDGFB	PDGFRB	activation
PDGFC	EGFR	activation
PDGFC	FGFR1	activation
PDGFC	FGFR3	activation
PDGFC	FGFR2	activation
PDGFC	FGFR4	activation
PDGFC	INSRR	activation
PDGFC	PDGFRA	activation
PDGFC	PDGFRB	activation
PDGFD	EGFR	activation
PDGFD	FGFR1	activation
PDGFD	FGFR3	activation
PDGFD	FGFR2	activation
PDGFD	FGFR4	activation
PDGFD	INSRR	activation
PDGFD	PDGFRA	activation
PDGFD	PDGFRB	activation
FGF23	EGFR	activation
FGF23	FGFR1	activation
FGF23	FGFR3	activation
FGF23	FGFR2	activation
FGF23	FGFR4	activation
FGF23	INSRR	activation
FGF23	PDGFRA	activation
FGF23	PDGFRB	activation
FGF18	EGFR	activation
FGF18	FGFR1	activation
FGF18	FGFR3	activation
FGF18	FGFR2	activation
FGF18	FGFR4	activation
FGF18	INSRR	activation
FGF18	PDGFRA	activation
FGF18	PDGFRB	activation
FGF17	EGFR	activation
FGF17	FGFR1	activation
FGF17	FGFR3	activation
FGF17	FGFR2	activation
FGF17	FGFR4	activation
FGF17	INSRR	activation
FGF17	PDGFRA	activation
FGF17	PDGFRB	activation
FGF16	EGFR	activation
FGF16	FGFR1	activation
FGF16	FGFR3	activation
FGF16	FGFR2	activation
FGF16	FGFR4	activation
FGF16	INSRR	activation
FGF16	PDGFRA	activation
FGF16	PDGFRB	activation
FGF19	EGFR	activation
FGF19	FGFR1	activation
FGF19	FGFR3	activation
FGF19	FGFR2	activation
FGF19	FGFR4	activation
FGF19	INSRR	activation
FGF19	PDGFRA	activation
FGF19	PDGFRB	activation
INS	EGFR	activation
INS	FGFR1	activation
INS	FGFR3	activation
INS	FGFR2	activation
INS	FGFR4	activation
INS	INSRR	activation
INS	PDGFRA	activation
INS	PDGFRB	activation
F2R	GNA13	activation
F2R	GNA12	activation
CXCR4	GNA13	activation
CXCR4	GNA12	activation
LPAR1	GNA13	activation
LPAR1	GNA12	activation
LPAR4	GNA13	activation
LPAR4	GNA12	activation
LPAR5	GNA13	activation
LPAR5	GNA12	activation
LPAR2	GNA13	activation
LPAR2	GNA12	activation
CXCL12	CXCR4	activation
KNG1	CHRM1	activation
KNG1	CHRM2	activation
KNG1	CHRM3	activation
KNG1	CHRM4	activation
KNG1	CHRM5	activation
KNG1	BDKRB1	activation
KNG1	BDKRB2	activation
