GPER1	GNAS	activation
PIK3CD	AKT1	activation
PIK3CD	AKT2	activation
PIK3R1	AKT3	activation
PIK3R1	AKT1	activation
PIK3R1	AKT2	activation
PIK3R2	AKT3	activation
PIK3R2	AKT1	activation
PIK3R2	AKT2	activation
PIK3R3	AKT3	activation
PIK3R3	AKT1	activation
PIK3R3	AKT2	activation
AKT3	MTOR	activation
AKT1	MTOR	activation
AKT2	MTOR	activation
MAPK14	ESR1	activation
MAPK14	ESR2	activation
MAPK14	CARM1	activation
MAPK14	MED1	activation
MAPK14	NCOA3	activation
MAPK14	FOS	activation
MAPK14	JUN	activation
MAPK14	SP1	activation
MAPK11	ESR1	activation
MAPK11	ESR2	activation
MAPK11	CARM1	activation
MAPK11	MED1	activation
MAPK11	NCOA3	activation
MAPK11	FOS	activation
MAPK11	JUN	activation
MAPK11	SP1	activation
MAPK13	ESR1	activation
MAPK13	ESR2	activation
MAPK13	CARM1	activation
MAPK13	MED1	activation
MAPK13	NCOA3	activation
MAPK13	FOS	activation
MAPK13	JUN	activation
MAPK13	SP1	activation
MAPK12	ESR1	activation
MAPK12	ESR2	activation
MAPK12	CARM1	activation
MAPK12	MED1	activation
MAPK12	NCOA3	activation
MAPK12	FOS	activation
MAPK12	JUN	activation
MAPK12	SP1	activation
MAPK8	ESR1	activation
MAPK8	ESR2	activation
MAPK8	CARM1	activation
MAPK8	MED1	activation
MAPK8	NCOA3	activation
MAPK8	FOS	activation
MAPK8	JUN	activation
MAPK8	SP1	activation
MAPK9	ESR1	activation
MAPK9	ESR2	activation
MAPK9	CARM1	activation
MAPK9	MED1	activation
MAPK9	NCOA3	activation
MAPK9	FOS	activation
MAPK9	JUN	activation
MAPK9	SP1	activation
MAPK10	ESR1	activation
MAPK10	ESR2	activation
MAPK10	CARM1	activation
MAPK10	MED1	activation
MAPK10	NCOA3	activation
MAPK10	FOS	activation
MAPK10	JUN	activation
MAPK10	SP1	activation
JAG1	NOTCH1	activation
JAG1	NOTCH2	activation
JAG1	NOTCH3	activation
JAG1	NOTCH4	activation
JAG2	NOTCH1	activation
JAG2	NOTCH2	activation
JAG2	NOTCH3	activation
JAG2	NOTCH4	activation
MDM2	TP53	inhibition
TP53	CDKN2A	activation
TP53	CDKN2C	activation
TP53	CDKN1A	activation
TP53	CDKN1B	activation
CDKN2A	CDK4	inhibition
CDKN2C	CDK4	inhibition
CDKN1A	CDK4	inhibition
CDKN1B	CDK4	inhibition
CCND1	CDK4	activation
CDK4	RB1	inhibition
RB1	E2F1	inhibition
RB1	E2F2	inhibition
RB1	E2F3	inhibition
MTOR	RPS6KB1	activation
MTOR	RPS6KB2	activation
RPS6KB1	CARM1	activation
RPS6KB1	MED1	activation
RPS6KB1	NCOA3	activation
RPS6KB1	ESR1	activation
RPS6KB1	ESR2	activation
RPS6KB1	FOS	activation
RPS6KB1	JUN	activation
RPS6KB1	SP1	activation
RPS6KB2	CARM1	activation
RPS6KB2	MED1	activation
RPS6KB2	NCOA3	activation
RPS6KB2	ESR1	activation
RPS6KB2	ESR2	activation
RPS6KB2	FOS	activation
RPS6KB2	JUN	activation
RPS6KB2	SP1	activation
IGF1	IGF1R	activation
IGF1R	SHC2	activation
IGF1R	SHC4	activation
IGF1R	SHC3	activation
IGF1R	SHC1	activation
IGF1R	PIK3CA	activation
IGF1R	PIK3CB	activation
IGF1R	PIK3CD	activation
IGF1R	PIK3R1	activation
IGF1R	PIK3R2	activation
IGF1R	PIK3R3	activation
ERBB2	SHC2	activation
ERBB2	SHC4	activation
ERBB2	SHC3	activation
ERBB2	SHC1	activation
ERBB2	PIK3CA	activation
ERBB2	PIK3CB	activation
ERBB2	PIK3CD	activation
ERBB2	PIK3R1	activation
ERBB2	PIK3R2	activation
ERBB2	PIK3R3	activation
BCL2	BAX	inhibition
BCL2	BAD	inhibition
BCL2	BIK	inhibition
PTK2	PIK3CA	activation
PTK2	PIK3CB	activation
PTK2	PIK3CD	activation
PTK2	PIK3R1	activation
PTK2	PIK3R2	activation
PTK2	PIK3R3	activation
DLL3	NOTCH1	activation
DLL3	NOTCH2	activation
DLL3	NOTCH3	activation
DLL3	NOTCH4	activation
DLL1	NOTCH1	activation
DLL1	NOTCH2	activation
DLL1	NOTCH3	activation
DLL1	NOTCH4	activation
DLL4	NOTCH1	activation
DLL4	NOTCH2	activation
DLL4	NOTCH3	activation
DLL4	NOTCH4	activation
